"Date","Set 1","Set 2","Set 3","Set 4","Set 5","Set 6","Set 7","Set 8","Set 9","Set 10","Sum","RawVideoTime","WorkingOutTime"
"4/1/2020",11,4,3,2,1,1,1,1,1,1,26,0:04:39","0:04:25"
"4/2/2020",11,2,1,1,1,1,1,1,1,1,21,"0:04:59","0:04:34"
"4/3/2020",12,2,2,1,1,1,1,1,1,1,23,"0:04:16","0:04:13"
"4/4/2020",12,2,2,1,1,1,1,1,1,1,23,"0:04:25","0:04:13"
"4/5/2020",12,2,2,1,1,1,1,1,1,1,23,"0:04:32","0:04:25"
"4/6/2020",13,3,2,2,1,1,1,1,1,1,26,"0:04:47","0:04:36"
"4/7/2020",13,3,2,1,1,1,1,1,1,1,25,"0:04:22","0:04:11"
"4/8/2020",14,3,2,1,1,1,1,1,1,1,26,"0:04:35","0:04:28"
"4/9/2020",15,3,2,2,1,1,1,1,1,1,28,"0:04:45","0:04:33"
"4/10/2020",15,4,2,2,2,1,1,1,1,1,30,"0:04:30","0:04:20"
"4/11/2020",15,3,2,1,1,1,1,1,1,1,27,"0:04:49","0:04:41"
"4/12/2020",15,4,2,2,1,1,1,1,1,1,29,"0:04:45","0:04:37"
"4/13/2020",16,4,3,3,2,1,1,1,1,1,33,"0:05:17","0:05:08"
"4/14/2020",16,4,3,2,2,2,1,1,1,1,33,"0:04:57","0:04:50"
"4/15/2020",16,4,3,2,2,2,2,2,2,1,36,"0:05:19","0:05:10"
"4/16/2020",17,4,3,2,2,2,2,2,2,2,38,"0:05:14","0:05:04"
"4/17/2020",16,5,3,2,2,2,2,2,2,1,37,"0:05:15","0:04:54"
"4/18/2020",17,4,3,2,2,2,2,3,2,2,39,"0:05:11","0:04:55"
"4/19/2020",18,4,4,3,2,2,3,2,2,2,42,"0:05:27","0:05:19"
"4/20/2020",18,4,4,3,2,2,3,2,2,3,43,"0:05:06","0:04:57"
"4/21/2020",19,5,3,3,3,2,2,2,2,2,43,"0:05:01","0:04:53"
"4/22/2020",18,4,4,3,3,3,2,2,2,2,43,"0:05:12","0:04:53"
"4/23/2020",18,4,3,3,3,3,3,3,3,2,45,"0:05:24","0:05:17"
"4/24/2020",19,5,4,3,3,3,3,3,2,2,47,"0:05:27","0:05:21"
"4/25/2020",19,5,4,4,4,3,3,3,3,3,51,"0:05:25","0:05:18"
"4/26/2020",19,6,4,4,4,4,3,3,2,2,51,"0:05:35","0:05:21"
"4/27/2020",20,5,4,4,3,3,3,3,3,3,51,"0:05:32","0:05:19"
"4/28/2020",20,6,5,4,3,3,3,3,3,3,53,"0:05:36","0:05:30"
"4/29/2020",21,6,4,4,3,4,3,3,3,3,54,"0:05:38","0:05:32"
"4/30/2020",21,6,4,4,4,4,3,3,3,3,55,"0:06:02","0:05:55"